County,lat,lon,ndvi_change,pixels,area_acres
Putnam County TN,36.263175,-85.460336,-0.532,742,18.34
Putnam County TN,36.133986,-85.527635,-0.504,651,16.09
Putnam County TN,36.307234,-85.495445,-0.493,393,9.71
Putnam County TN,36.348636,-85.62871,-0.694,221,5.46
Putnam County TN,36.145899,-85.573997,-0.602,216,5.34
Putnam County TN,36.305183,-85.446381,-0.647,203,5.02
Putnam County TN,36.235947,-85.46092,-0.673,192,4.74
Putnam County TN,36.160828,-85.62423,-0.655,168,4.15
Putnam County TN,36.221415,-85.376969,-0.565,148,3.66
Putnam County TN,36.175805,-85.455283,-0.493,124,3.06
Putnam County TN,36.159133,-85.540503,-0.703,110,2.72
Putnam County TN,36.337339,-85.421253,-0.628,102,2.52
Putnam County TN,36.210464,-85.412897,-0.6,100,2.47
Putnam County TN,36.159002,-85.527992,-0.664,86,2.13
Putnam County TN,36.338549,-85.420252,-0.533,83,2.05
Putnam County TN,36.266758,-85.465374,-0.27,82,2.03
Putnam County TN,36.191125,-85.472993,-0.695,81,2.0
Wilson County TN,36.309366,-86.235332,-0.633,521,12.87
Wilson County TN,36.324274,-86.170269,-0.574,91,2.25
Rutherford County TN,35.853912,-86.264833,-0.384,944,23.33
Rutherford County TN,35.725067,-86.338273,-0.615,349,8.62
Rutherford County TN,35.947934,-86.223613,-0.437,141,3.48
Rutherford County TN,35.772132,-86.330318,-0.377,116,2.87
Rutherford County TN,35.789101,-86.293653,-0.611,99,2.45
Rutherford County TN,35.734984,-86.24135,-0.601,95,2.35
Rutherford County TN,35.707981,-86.333684,-0.489,89,2.2
Rutherford County TN,35.697563,-86.277161,-0.595,85,2.1
Maury County TN,35.738466,-87.176344,-0.571,3079,76.08
Maury County TN,35.698677,-87.182444,-0.595,1355,33.48
Maury County TN,35.757431,-87.194407,-0.56,1231,30.42
Maury County TN,35.640876,-87.220259,-0.504,1128,27.87
Maury County TN,35.704272,-87.130678,-0.614,994,24.56
Maury County TN,35.655483,-87.136765,-0.583,978,24.17
Maury County TN,35.722908,-87.236412,-0.686,955,23.6
Maury County TN,35.687918,-87.215903,-0.59,692,17.1
Maury County TN,35.687545,-87.213667,-0.559,534,13.2
Maury County TN,35.634741,-87.145932,-0.612,496,12.26
Maury County TN,35.46239,-87.222073,-0.536,477,11.79
Maury County TN,35.719426,-87.146703,-0.687,457,11.29
Maury County TN,35.635619,-87.132954,-0.453,231,5.71
Maury County TN,35.736633,-87.155421,-0.674,210,5.19
Maury County TN,35.686,-87.208994,-0.495,199,4.92
Maury County TN,35.576356,-87.107719,-0.403,194,4.79
Maury County TN,35.733703,-87.172592,-0.591,183,4.52
Maury County TN,35.668943,-87.181345,-0.58,139,3.43
Maury County TN,35.53733,-87.152525,-0.563,136,3.36
Maury County TN,35.632709,-87.143056,-0.698,130,3.21
Maury County TN,35.690547,-87.228201,-0.493,128,3.16
Maury County TN,35.75329,-87.123701,-0.551,114,2.82
Maury County TN,35.447887,-87.121692,-0.485,109,2.69
Maury County TN,35.716987,-87.21662,-0.47,104,2.57
Maury County TN,35.686387,-87.212134,-0.491,100,2.47
Maury County TN,35.757493,-87.12376,-0.427,97,2.4
Maury County TN,35.748698,-87.180971,-0.481,91,2.25
Maury County TN,35.531521,-87.239752,-0.475,89,2.2
Maury County TN,35.532416,-87.107978,-0.594,81,2.0
Limestone County AL,34.598439,-87.073903,-0.543,5466,135.07
Limestone County AL,34.831106,-87.027262,-0.435,4134,102.15
Limestone County AL,34.609604,-87.061246,-0.518,3410,84.26
Limestone County AL,34.720595,-87.066983,-0.582,3397,83.94
Limestone County AL,34.693495,-87.258395,-0.399,2957,73.07
Limestone County AL,34.70342,-87.165475,-0.61,2636,65.14
Limestone County AL,34.729289,-87.252782,-0.537,1836,45.37
Limestone County AL,34.651506,-87.22676,-0.688,1399,34.57
Limestone County AL,34.691211,-87.253786,-0.557,1287,31.8
Limestone County AL,34.786199,-87.081937,-0.679,1225,30.27
Limestone County AL,34.718574,-87.07101,-0.559,1123,27.75
Limestone County AL,34.657464,-87.222893,-0.664,1083,26.76
Limestone County AL,34.660999,-87.221689,-0.666,974,24.07
Limestone County AL,34.66195,-86.961604,-0.478,971,23.99
Limestone County AL,34.723857,-87.250048,-0.566,925,22.86
Limestone County AL,34.744633,-87.060848,-0.647,922,22.78
Limestone County AL,34.655367,-87.179175,-0.744,879,21.72
Limestone County AL,34.746396,-87.222483,-0.628,878,21.7
Limestone County AL,34.719824,-86.929588,-0.634,826,20.41
Limestone County AL,34.600026,-87.213833,-0.48,797,19.69
Limestone County AL,34.639355,-87.151685,-0.658,783,19.35
Limestone County AL,34.657857,-87.183522,-0.72,762,18.83
Limestone County AL,34.593949,-87.01881,-0.772,730,18.04
Limestone County AL,34.636008,-87.129844,-0.707,702,17.35
Limestone County AL,34.615923,-87.050422,-0.608,693,17.12
Limestone County AL,34.593727,-87.064391,-0.461,682,16.85
Limestone County AL,34.619818,-87.112194,-0.644,639,15.79
Limestone County AL,34.697119,-87.005026,-0.468,617,15.25
Limestone County AL,34.709405,-87.053692,-0.588,549,13.57
Limestone County AL,34.700768,-87.016336,-0.639,548,13.54
Limestone County AL,34.742232,-87.143987,-0.349,494,12.21
Limestone County AL,34.613507,-87.045824,-0.538,494,12.21
Limestone County AL,34.69798,-87.053777,-0.5,488,12.06
Limestone County AL,34.71982,-87.07428,-0.459,483,11.94
Limestone County AL,34.701525,-87.05401,-0.523,466,11.52
Limestone County AL,34.626008,-87.067852,-0.552,446,11.02
Limestone County AL,34.723434,-87.253491,-0.645,426,10.53
Limestone County AL,34.745342,-87.05197,-0.376,423,10.45
Limestone County AL,34.659917,-87.158749,-0.418,417,10.3
Limestone County AL,34.748277,-87.01199,-0.451,404,9.98
Limestone County AL,34.705831,-87.0333,-0.493,404,9.98
Limestone County AL,34.747465,-87.075096,-0.511,390,9.64
