County,Site #,Latitude,Longitude,Acres,NDVI Change,Size Category,Google Maps URL
Williamson County TN,1,35.927342,-87.044496,40.92,-0.67,Large (10+ ac),"https://www.google.com/maps?q=35.927342,-87.044496"
Williamson County TN,2,35.884388,-86.926901,34.25,-0.596,Large (10+ ac),"https://www.google.com/maps?q=35.884388,-86.926901"
Williamson County TN,3,35.949755,-87.015734,33.48,-0.456,Large (10+ ac),"https://www.google.com/maps?q=35.949755,-87.015734"
Williamson County TN,4,36.004144,-86.812037,28.86,-0.679,Large (10+ ac),"https://www.google.com/maps?q=36.004144,-86.812037"
Williamson County TN,5,35.873979,-86.792016,23.85,-0.635,Large (10+ ac),"https://www.google.com/maps?q=35.873979,-86.792016"
Williamson County TN,6,35.897974,-86.912447,23.23,-0.617,Large (10+ ac),"https://www.google.com/maps?q=35.897974,-86.912447"
Williamson County TN,7,35.96316,-86.842914,20.02,-0.655,Large (10+ ac),"https://www.google.com/maps?q=35.96316,-86.842914"
Williamson County TN,8,35.941071,-86.99364,17.25,-0.478,Large (10+ ac),"https://www.google.com/maps?q=35.941071,-86.99364"
Williamson County TN,9,35.909306,-86.8795,16.53,-0.583,Large (10+ ac),"https://www.google.com/maps?q=35.909306,-86.8795"
Williamson County TN,10,36.03018,-87.066447,15.05,-0.564,Large (10+ ac),"https://www.google.com/maps?q=36.03018,-87.066447"
Williamson County TN,11,35.859725,-86.940361,15.02,-0.491,Large (10+ ac),"https://www.google.com/maps?q=35.859725,-86.940361"
Williamson County TN,12,35.944348,-86.767058,14.8,-0.606,Large (10+ ac),"https://www.google.com/maps?q=35.944348,-86.767058"
Williamson County TN,13,36.018844,-86.760252,11.79,-0.656,Large (10+ ac),"https://www.google.com/maps?q=36.018844,-86.760252"
Williamson County TN,14,35.936171,-86.93683,10.63,-0.559,Large (10+ ac),"https://www.google.com/maps?q=35.936171,-86.93683"
Williamson County TN,15,35.943241,-86.771673,9.54,-0.613,Medium (5-10 ac),"https://www.google.com/maps?q=35.943241,-86.771673"
Williamson County TN,16,35.935715,-86.87553,9.29,-0.612,Medium (5-10 ac),"https://www.google.com/maps?q=35.935715,-86.87553"
Williamson County TN,17,35.892689,-86.926949,7.34,-0.506,Medium (5-10 ac),"https://www.google.com/maps?q=35.892689,-86.926949"
Williamson County TN,18,35.9348,-86.891821,6.33,-0.543,Medium (5-10 ac),"https://www.google.com/maps?q=35.9348,-86.891821"
Williamson County TN,19,35.963489,-86.834715,4.35,-0.552,Small (2-5 ac),"https://www.google.com/maps?q=35.963489,-86.834715"
Williamson County TN,20,35.933856,-87.034763,4.32,-0.462,Small (2-5 ac),"https://www.google.com/maps?q=35.933856,-87.034763"
Williamson County TN,21,35.955435,-86.839247,4.13,-0.588,Small (2-5 ac),"https://www.google.com/maps?q=35.955435,-86.839247"
Williamson County TN,22,35.913025,-87.070209,3.78,-0.63,Small (2-5 ac),"https://www.google.com/maps?q=35.913025,-87.070209"
Williamson County TN,23,35.974803,-86.753821,3.73,-0.534,Small (2-5 ac),"https://www.google.com/maps?q=35.974803,-86.753821"
Williamson County TN,24,36.03915,-86.822286,3.68,-0.381,Small (2-5 ac),"https://www.google.com/maps?q=36.03915,-86.822286"
Williamson County TN,25,35.974534,-86.753132,3.66,-0.481,Small (2-5 ac),"https://www.google.com/maps?q=35.974534,-86.753132"
Williamson County TN,26,36.011859,-86.912398,3.63,-0.397,Small (2-5 ac),"https://www.google.com/maps?q=36.011859,-86.912398"
Williamson County TN,27,35.866261,-86.805788,3.06,-0.549,Small (2-5 ac),"https://www.google.com/maps?q=35.866261,-86.805788"
Williamson County TN,28,35.901894,-86.88029,2.77,-0.605,Small (2-5 ac),"https://www.google.com/maps?q=35.901894,-86.88029"
Williamson County TN,29,35.944122,-86.9783,2.72,-0.428,Small (2-5 ac),"https://www.google.com/maps?q=35.944122,-86.9783"
Williamson County TN,30,35.87754,-87.083982,2.67,-0.459,Small (2-5 ac),"https://www.google.com/maps?q=35.87754,-87.083982"
Williamson County TN,31,35.962453,-86.837939,2.47,-0.459,Small (2-5 ac),"https://www.google.com/maps?q=35.962453,-86.837939"
Williamson County TN,32,35.902116,-86.979269,2.45,-0.427,Small (2-5 ac),"https://www.google.com/maps?q=35.902116,-86.979269"
Williamson County TN,33,35.874734,-87.050176,2.42,-0.444,Small (2-5 ac),"https://www.google.com/maps?q=35.874734,-87.050176"
Williamson County TN,34,35.915048,-86.870152,2.35,-0.401,Small (2-5 ac),"https://www.google.com/maps?q=35.915048,-86.870152"
Williamson County TN,35,35.948444,-87.004712,2.15,-0.439,Small (2-5 ac),"https://www.google.com/maps?q=35.948444,-87.004712"
Williamson County TN,36,35.956776,-87.0382,2.1,-0.368,Small (2-5 ac),"https://www.google.com/maps?q=35.956776,-87.0382"
Williamson County TN,37,35.865772,-86.803526,2.08,-0.509,Small (2-5 ac),"https://www.google.com/maps?q=35.865772,-86.803526"
Williamson County TN,38,35.941021,-87.059574,2.05,-0.592,Small (2-5 ac),"https://www.google.com/maps?q=35.941021,-87.059574"
Williamson County TN,39,36.034773,-86.752476,2.0,-0.389,Small (2-5 ac),"https://www.google.com/maps?q=36.034773,-86.752476"
Williamson County TN,40,35.874449,-86.777231,2.0,-0.558,Small (2-5 ac),"https://www.google.com/maps?q=35.874449,-86.777231"
Maricopa AZ SE Valley,1,33.19343,-111.567859,74.77,-0.678,Large (10+ ac),"https://www.google.com/maps?q=33.19343,-111.567859"
Maricopa AZ SE Valley,2,33.184778,-111.551882,58.51,-0.523,Large (10+ ac),"https://www.google.com/maps?q=33.184778,-111.551882"
Maricopa AZ SE Valley,3,33.184451,-111.55542,54.66,-0.524,Large (10+ ac),"https://www.google.com/maps?q=33.184451,-111.55542"
Maricopa AZ SE Valley,4,33.193338,-111.560586,50.16,-0.65,Large (10+ ac),"https://www.google.com/maps?q=33.193338,-111.560586"
Maricopa AZ SE Valley,5,33.208077,-111.886332,48.51,-0.555,Large (10+ ac),"https://www.google.com/maps?q=33.208077,-111.886332"
Maricopa AZ SE Valley,6,33.190156,-111.566682,46.28,-0.673,Large (10+ ac),"https://www.google.com/maps?q=33.190156,-111.566682"
Maricopa AZ SE Valley,7,33.208222,-111.89045,46.21,-0.536,Large (10+ ac),"https://www.google.com/maps?q=33.208222,-111.89045"
Maricopa AZ SE Valley,8,33.189985,-111.560934,39.24,-0.642,Large (10+ ac),"https://www.google.com/maps?q=33.189985,-111.560934"
Maricopa AZ SE Valley,9,33.197646,-111.804232,35.11,-0.603,Large (10+ ac),"https://www.google.com/maps?q=33.197646,-111.804232"
Maricopa AZ SE Valley,10,33.299371,-111.735141,31.6,-0.415,Large (10+ ac),"https://www.google.com/maps?q=33.299371,-111.735141"
Maricopa AZ SE Valley,11,33.321831,-111.692877,24.04,-0.511,Large (10+ ac),"https://www.google.com/maps?q=33.321831,-111.692877"
Maricopa AZ SE Valley,12,33.208111,-111.882229,15.44,-0.498,Large (10+ ac),"https://www.google.com/maps?q=33.208111,-111.882229"
Maricopa AZ SE Valley,13,33.186094,-111.54942,15.2,-0.491,Large (10+ ac),"https://www.google.com/maps?q=33.186094,-111.54942"
Maricopa AZ SE Valley,14,33.171873,-111.843532,13.99,-0.66,Large (10+ ac),"https://www.google.com/maps?q=33.171873,-111.843532"
Maricopa AZ SE Valley,15,33.211973,-111.890611,12.82,-0.487,Large (10+ ac),"https://www.google.com/maps?q=33.211973,-111.890611"
Maricopa AZ SE Valley,16,33.169352,-111.847869,12.63,-0.643,Large (10+ ac),"https://www.google.com/maps?q=33.169352,-111.847869"
Maricopa AZ SE Valley,17,33.329915,-111.690562,12.48,-0.465,Large (10+ ac),"https://www.google.com/maps?q=33.329915,-111.690562"
Maricopa AZ SE Valley,18,33.170989,-111.847536,11.27,-0.59,Large (10+ ac),"https://www.google.com/maps?q=33.170989,-111.847536"
Maricopa AZ SE Valley,19,33.226184,-111.894536,10.75,-0.594,Large (10+ ac),"https://www.google.com/maps?q=33.226184,-111.894536"
Maricopa AZ SE Valley,20,33.236097,-111.616345,10.3,-0.785,Large (10+ ac),"https://www.google.com/maps?q=33.236097,-111.616345"
Maricopa AZ SE Valley,21,33.259505,-111.687686,9.98,-0.427,Medium (5-10 ac),"https://www.google.com/maps?q=33.259505,-111.687686"
