County,lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
Williamson TN,35.936171,-86.93683,-0.559,430,10.63,95,ACTIVE DEVELOPMENT,100.0,0.3156,19.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_1.png
Williamson TN,35.96316,-86.842914,-0.655,810,20.02,92,ACTIVE DEVELOPMENT,99.5,0.3839,26.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_2.png
Williamson TN,35.944348,-86.767058,-0.606,599,14.8,90,ACTIVE DEVELOPMENT,99.7,0.3221,35.6,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_3.png
Williamson TN,35.943241,-86.771673,-0.613,386,9.54,90,ACTIVE DEVELOPMENT,98.2,0.3376,34.9,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_4.png
Williamson TN,36.018844,-86.760252,-0.656,477,11.79,88,ACTIVE DEVELOPMENT,99.2,0.3641,50.4,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_5.png
Williamson TN,35.927342,-87.044496,-0.67,1656,40.92,87,ACTIVE DEVELOPMENT,98.6,0.3311,88.6,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_6.png
Williamson TN,36.004144,-86.812037,-0.679,1168,28.86,87,ACTIVE DEVELOPMENT,99.0,0.4741,87.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_7.png
Williamson TN,35.935715,-86.87553,-0.612,376,9.29,87,ACTIVE DEVELOPMENT,95.7,0.3373,52.1,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_8.png
Williamson TN,35.866261,-86.805788,-0.549,124,3.06,87,ACTIVE DEVELOPMENT,100.0,0.4155,21.8,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_9.png
Williamson TN,35.865772,-86.803526,-0.509,84,2.08,87,ACTIVE DEVELOPMENT,100.0,0.393,21.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_10.png
Williamson TN,35.884388,-86.926901,-0.596,1386,34.25,86,ACTIVE DEVELOPMENT,99.6,0.3747,182.5,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_11.png
Williamson TN,35.873979,-86.792016,-0.635,965,23.85,86,ACTIVE DEVELOPMENT,97.7,0.386,129.1,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_12.png
Williamson TN,35.913025,-87.070209,-0.63,153,3.78,86,ACTIVE DEVELOPMENT,100.0,0.5261,23.5,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_13.png
Williamson TN,35.897974,-86.912447,-0.617,940,23.23,85,ACTIVE DEVELOPMENT,94.5,0.2989,75.3,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_14.png
