lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
35.275253,-80.429854,-0.829,344,8.5,95,ACTIVE DEVELOPMENT,93.9,0.5004,-0.3742,0.8781,19.1,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_1.png
35.286068,-80.693191,-0.57,238,5.88,93,ACTIVE DEVELOPMENT,89.5,0.3634,-0.2731,0.6714,22.4,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_2.png
35.311219,-80.682484,-0.719,150,3.71,93,ACTIVE DEVELOPMENT,100.0,0.495,-0.2579,0.7961,12.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_3.png
35.442658,-80.625206,-0.689,101,2.5,93,ACTIVE DEVELOPMENT,99.0,0.3773,-0.2368,0.7749,10.8,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_4.png
35.461794,-80.500565,-0.701,99,2.45,93,ACTIVE DEVELOPMENT,0.0,0.2604,-0.3061,0.866,11.7,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_5.png
35.414766,-80.621116,-0.684,388,9.59,92,ACTIVE DEVELOPMENT,96.6,0.3413,-0.2327,0.749,27.9,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_6.png
35.286443,-80.623939,-0.651,364,8.99,92,ACTIVE DEVELOPMENT,29.7,0.2303,-0.247,0.7677,28.0,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_7.png
35.379896,-80.647566,-0.702,238,5.88,92,ACTIVE DEVELOPMENT,98.7,0.2989,-0.1652,0.7593,27.6,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_8.png
35.363124,-80.698307,-0.579,120,2.97,91,ACTIVE DEVELOPMENT,90.8,0.3266,-0.2102,0.709,14.7,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_9.png
35.381969,-80.568638,-0.665,101,2.5,91,ACTIVE DEVELOPMENT,22.8,0.2791,-0.3034,0.8079,14.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_10.png
35.378805,-80.5645,-0.685,207,5.12,90,ACTIVE DEVELOPMENT,70.0,0.201,-0.1592,0.7211,41.8,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_11.png
35.469556,-80.414205,-0.883,128,3.16,90,ACTIVE DEVELOPMENT,71.9,0.3712,-0.325,0.8688,15.1,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_12.png
35.432886,-80.687353,-0.754,1428,35.29,89,ACTIVE DEVELOPMENT,93.6,0.4557,-0.2924,0.8085,53.7,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_13.png
35.272483,-80.64315,-0.66,708,17.5,89,ACTIVE DEVELOPMENT,86.6,0.3156,-0.2104,0.7715,52.1,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_14.png
35.273697,-80.432663,-0.761,657,16.23,89,ACTIVE DEVELOPMENT,83.6,0.5101,-0.3807,0.8726,46.1,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_15.png
35.251252,-80.614693,-0.681,376,9.29,89,ACTIVE DEVELOPMENT,96.8,0.4688,-0.3169,0.8141,42.2,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_16.png
35.278407,-80.429471,-0.768,1683,41.59,88,ACTIVE DEVELOPMENT,94.1,0.5097,-0.3885,0.8749,72.8,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_17.png
35.2965,-80.428236,-0.608,709,17.52,88,ACTIVE DEVELOPMENT,99.7,0.3375,-0.1203,0.7385,74.6,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_18.png
35.393879,-80.583536,-0.586,285,7.04,88,ACTIVE DEVELOPMENT,93.3,0.2589,-0.1582,0.6912,59.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_19.png
35.287731,-80.409316,-0.665,274,6.77,88,ACTIVE DEVELOPMENT,94.5,0.2956,-0.1649,0.7469,60.7,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_20.png
35.257491,-80.417821,-0.689,96,2.37,88,ACTIVE DEVELOPMENT,83.3,0.3981,-0.2868,0.8605,18.4,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_21.png
35.364572,-80.664743,-0.707,1462,36.13,87,ACTIVE DEVELOPMENT,94.9,0.3329,-0.1876,0.7441,87.7,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_22.png
35.424594,-80.663192,-0.681,124,3.06,87,ACTIVE DEVELOPMENT,0.0,0.2534,-0.3526,0.8145,20.2,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_23.png
35.382939,-80.687083,-0.632,91,2.25,87,ACTIVE DEVELOPMENT,64.8,0.2531,-0.2346,0.7494,20.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_24.png
35.38106,-80.570577,-0.607,90,2.22,87,ACTIVE DEVELOPMENT,1.1,0.2302,-0.2574,0.7602,20.5,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_25.png
35.469067,-80.665588,-0.649,88,2.17,87,ACTIVE DEVELOPMENT,97.7,0.3911,-0.2504,0.7829,20.0,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_26.png
35.436126,-80.688098,-0.718,102,2.52,85,ACTIVE DEVELOPMENT,97.1,0.4107,-0.2489,0.7638,27.5,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_27.png
35.291504,-80.616479,-0.711,165,4.08,83,ACTIVE DEVELOPMENT,100.0,0.5622,-0.31,0.8495,40.8,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_28.png
35.280337,-80.412077,-0.758,135,3.34,83,ACTIVE DEVELOPMENT,97.8,0.3467,-0.242,0.8208,38.4,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_29.png
35.354762,-80.418352,-0.544,211,5.21,72,ACTIVE DEVELOPMENT,0.5,0.1162,-0.1529,0.6826,25.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_30.png
35.28768,-80.417295,-0.592,95,2.35,72,ACTIVE DEVELOPMENT,3.2,0.1224,-0.1716,0.7374,14.4,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_31.png
35.381719,-80.571087,-0.485,93,2.3,65,ACTIVE DEVELOPMENT,33.3,0.1293,-0.144,0.6441,41.3,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_32.png
35.356633,-80.557754,-0.514,156,3.85,62,ACTIVE DEVELOPMENT,33.3,0.1201,-0.144,0.6405,50.8,https://atlas-flc.github.io/flc-website/thumbnails/cabarrus_county_nc_site_33.png
