lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
35.597661,-79.183407,-0.713,302,7.46,96,ACTIVE DEVELOPMENT,9.9,0.4456,-0.4832,0.863,17.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_1.png
35.840632,-79.561176,-0.677,262,6.47,96,ACTIVE DEVELOPMENT,95.8,0.3533,-0.2272,0.7649,17.6,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_2.png
35.629268,-79.242719,-0.727,805,19.89,95,ACTIVE DEVELOPMENT,19.1,0.3053,-0.3337,0.8501,18.5,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_3.png
35.777394,-79.233581,-0.704,384,9.49,94,ACTIVE DEVELOPMENT,78.4,0.5308,-0.476,0.8335,20.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_4.png
35.851378,-79.340139,-0.665,134,3.31,93,ACTIVE DEVELOPMENT,0.0,0.3465,-0.3789,0.8423,11.9,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_5.png
35.597137,-79.181367,-0.709,111,2.74,93,ACTIVE DEVELOPMENT,0.0,0.3501,-0.3953,0.8585,11.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_6.png
35.618866,-79.187902,-0.716,347,8.57,92,ACTIVE DEVELOPMENT,7.8,0.2934,-0.3381,0.8627,27.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_7.png
35.811432,-79.370183,-0.648,258,6.38,92,ACTIVE DEVELOPMENT,6.2,0.3112,-0.3465,0.8022,26.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_8.png
35.850947,-79.592748,-0.669,85,2.1,92,ACTIVE DEVELOPMENT,96.5,0.3642,-0.2038,0.7075,13.6,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_9.png
35.545291,-79.198053,-0.786,521,12.87,91,ACTIVE DEVELOPMENT,74.9,0.4148,-0.3569,0.8003,29.5,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_10.png
35.762044,-79.281685,-0.624,248,6.13,91,ACTIVE DEVELOPMENT,0.4,0.22,-0.2694,0.7871,34.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_11.png
35.763152,-79.316608,-0.686,195,4.82,91,ACTIVE DEVELOPMENT,5.1,0.4178,-0.4495,0.8478,15.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_12.png
35.795166,-79.205783,-0.698,166,4.1,91,ACTIVE DEVELOPMENT,12.7,0.2745,-0.32,0.8518,14.5,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_13.png
35.774188,-79.315843,-0.604,135,3.34,91,ACTIVE DEVELOPMENT,5.2,0.2217,-0.2608,0.768,15.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_14.png
35.810546,-79.218624,-0.721,89,2.2,91,ACTIVE DEVELOPMENT,49.4,0.4306,-0.4308,0.8292,14.6,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_15.png
35.750207,-79.358186,-0.953,82,2.03,91,ACTIVE DEVELOPMENT,63.4,0.268,-0.1992,0.7953,14.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_16.png
35.806572,-79.365125,-0.705,709,17.52,90,ACTIVE DEVELOPMENT,3.7,0.3135,-0.3411,0.8431,34.8,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_17.png
35.552483,-79.174974,-0.656,435,10.75,90,ACTIVE DEVELOPMENT,33.6,0.2896,-0.3129,0.7844,37.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_18.png
35.603713,-79.209775,-0.684,346,8.55,90,ACTIVE DEVELOPMENT,7.8,0.2819,-0.3222,0.8344,36.3,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_19.png
35.683583,-79.444231,-0.706,135,3.34,90,ACTIVE DEVELOPMENT,0.0,0.3576,-0.4008,0.8705,16.4,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_20.png
35.575507,-79.18409,-0.673,82,2.03,90,ACTIVE DEVELOPMENT,0.0,0.3317,-0.3987,0.845,15.8,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_21.png
35.778461,-79.229137,-0.758,1712,42.3,89,ACTIVE DEVELOPMENT,89.0,0.5126,-0.4246,0.8287,51.9,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_22.png
35.632225,-79.250411,-0.677,237,5.86,89,ACTIVE DEVELOPMENT,100.0,0.6986,-0.4261,0.8401,46.5,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_23.png
35.744733,-79.292958,-0.655,120,2.97,89,ACTIVE DEVELOPMENT,0.0,0.2528,-0.3178,0.8088,16.9,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_24.png
35.606339,-79.246704,-0.701,109,2.69,89,ACTIVE DEVELOPMENT,7.3,0.2752,-0.3275,0.8694,17.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_25.png
35.793217,-79.201183,-0.728,199,4.92,88,ACTIVE DEVELOPMENT,14.6,0.3186,-0.3546,0.8656,19.3,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_26.png
35.814022,-79.371238,-0.67,179,4.42,88,ACTIVE DEVELOPMENT,0.0,0.3378,-0.375,0.8355,19.4,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_27.png
35.7342,-79.329466,-0.639,132,3.26,88,ACTIVE DEVELOPMENT,0.8,0.2813,-0.3327,0.796,19.7,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_28.png
35.732378,-79.412432,-0.705,97,2.4,88,ACTIVE DEVELOPMENT,0.0,0.2761,-0.3381,0.8487,19.1,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_29.png
35.695703,-79.176863,-0.705,438,10.82,87,ACTIVE DEVELOPMENT,98.9,0.5445,-0.3722,0.8574,85.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_30.png
35.843899,-79.202867,-0.672,136,3.36,87,ACTIVE DEVELOPMENT,1.5,0.3322,-0.3787,0.8378,20.7,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_31.png
35.577587,-79.546151,-0.65,119,2.94,87,ACTIVE DEVELOPMENT,100.0,0.5227,-0.3415,0.8195,20.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_32.png
35.734671,-79.160509,-0.641,101,2.5,87,ACTIVE DEVELOPMENT,5.9,0.2375,-0.2698,0.8003,20.0,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_33.png
35.847863,-79.22229,-0.665,202,4.99,86,ACTIVE DEVELOPMENT,1.0,0.3067,-0.3486,0.8243,24.3,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_34.png
35.758404,-79.453765,-0.651,178,4.4,85,ACTIVE DEVELOPMENT,0.0,0.2502,-0.3026,0.8179,25.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_35.png
35.69501,-79.422062,-0.674,130,3.21,85,ACTIVE DEVELOPMENT,0.0,0.279,-0.3312,0.8474,28.6,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_36.png
35.633838,-79.229846,-0.721,129,3.19,85,ACTIVE DEVELOPMENT,9.3,0.321,-0.3553,0.8679,25.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_37.png
35.787058,-79.229896,-0.54,254,6.28,84,ACTIVE DEVELOPMENT,18.5,0.1532,-0.1748,0.6848,17.7,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_38.png
35.729177,-79.426262,-0.681,141,3.48,84,ACTIVE DEVELOPMENT,94.3,0.3501,-0.2711,0.776,32.8,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_39.png
35.701083,-79.178779,-0.75,81,2.0,84,ACTIVE DEVELOPMENT,37.0,0.2517,-0.2925,0.8434,33.4,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_40.png
35.747759,-79.459119,-0.628,122,3.01,83,ACTIVE DEVELOPMENT,3.3,0.2933,-0.3161,0.7906,35.7,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_41.png
35.632375,-79.255351,-0.702,112,2.77,83,ACTIVE DEVELOPMENT,100.0,0.6606,-0.4081,0.8604,38.9,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_42.png
35.699154,-79.176394,-0.715,98,2.42,83,ACTIVE DEVELOPMENT,98.0,0.4531,-0.3403,0.8194,39.2,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_43.png
35.672415,-79.165302,-0.533,98,2.42,83,ACTIVE DEVELOPMENT,85.7,0.3153,-0.2234,0.6073,36.7,https://atlas-flc.github.io/flc-website/thumbnails/chatham_county_nc_site_44.png
