lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
33.149651,-97.075732,-0.468,462,11.42,89,ACTIVE DEVELOPMENT,100.0,0.2888,33.8,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_1.png
33.186123,-97.282957,-0.382,604,14.93,88,ACTIVE DEVELOPMENT,100.0,0.3248,73.0,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_2.png
33.079908,-97.195948,-0.407,275,6.8,87,ACTIVE DEVELOPMENT,100.0,0.2383,22.1,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_3.png
33.140631,-97.166638,-0.414,115,2.84,87,ACTIVE DEVELOPMENT,100.0,0.3076,21.7,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_4.png
33.216454,-97.207536,-0.468,98,2.42,85,ACTIVE DEVELOPMENT,100.0,0.3872,25.5,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_5.png
33.14077,-97.071394,-0.544,1788,44.18,84,ACTIVE DEVELOPMENT,100.0,0.272,123.0,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_6.png
33.210905,-97.271961,-0.507,146,3.61,83,ACTIVE DEVELOPMENT,100.0,0.3569,38.5,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_7.png
33.067435,-97.335184,-0.568,84,2.08,83,ACTIVE DEVELOPMENT,100.0,0.3094,34.7,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_8.png
33.168557,-97.273988,-0.44,93,2.3,82,ACTIVE DEVELOPMENT,100.0,0.2701,26.9,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_9.png
33.126872,-97.063309,-0.515,1211,29.92,81,ACTIVE DEVELOPMENT,99.9,0.2367,86.7,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_10.png
33.103726,-97.326449,-0.431,132,3.26,81,ACTIVE DEVELOPMENT,100.0,0.3187,65.5,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_11.png
33.257994,-97.130581,-0.319,100,2.47,81,ACTIVE DEVELOPMENT,100.0,0.2942,54.8,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_12.png
33.121337,-97.14802,-0.462,990,24.46,80,ACTIVE DEVELOPMENT,98.9,0.2273,70.9,https://atlas-flc.github.io/flc-website/thumbnails/denton_county_tx_site_13.png
