lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
34.330508,-84.063491,-0.782,605,14.95,95,ACTIVE DEVELOPMENT,98.8,0.5541,17.2,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_1.png
34.231831,-84.179113,-0.719,305,7.54,95,ACTIVE DEVELOPMENT,99.3,0.4972,18.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_2.png
34.241658,-84.223657,-0.73,230,5.68,95,ACTIVE DEVELOPMENT,100.0,0.4364,18.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_3.png
34.333077,-84.064362,-0.774,1113,27.5,93,ACTIVE DEVELOPMENT,99.2,0.5329,22.7,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_4.png
34.204516,-83.992013,-0.759,1870,46.21,92,ACTIVE DEVELOPMENT,100.0,0.5246,25.2,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_5.png
34.328079,-84.066825,-0.704,286,7.07,91,ACTIVE DEVELOPMENT,100.0,0.4785,30.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_6.png
34.309371,-84.177546,-0.694,249,6.15,91,ACTIVE DEVELOPMENT,100.0,0.5433,29.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_7.png
34.216784,-84.186665,-0.669,214,5.29,91,ACTIVE DEVELOPMENT,100.0,0.4643,29.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_8.png
34.340047,-84.072762,-0.761,2047,50.58,90,ACTIVE DEVELOPMENT,99.9,0.5447,38.3,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_9.png
34.277466,-84.194465,-0.61,227,5.61,90,ACTIVE DEVELOPMENT,99.1,0.4345,37.3,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_10.png
34.24754,-84.154587,-0.674,93,2.3,90,ACTIVE DEVELOPMENT,100.0,0.3928,16.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_11.png
34.213023,-83.955371,-0.628,91,2.25,90,ACTIVE DEVELOPMENT,93.4,0.3523,12.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_12.png
34.319569,-84.137421,-0.708,386,9.54,89,ACTIVE DEVELOPMENT,99.5,0.4693,50.8,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_13.png
34.234242,-84.162035,-0.675,253,6.25,89,ACTIVE DEVELOPMENT,98.0,0.3926,40.3,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_14.png
34.314588,-84.085313,-0.656,225,5.56,89,ACTIVE DEVELOPMENT,98.7,0.3513,38.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_15.png
34.323061,-84.07492,-0.756,116,2.87,89,ACTIVE DEVELOPMENT,98.3,0.5307,15.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_16.png
34.210098,-84.144993,-0.534,83,2.05,89,ACTIVE DEVELOPMENT,100.0,0.3267,16.5,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_17.png
34.246756,-84.119356,-0.749,2571,63.53,88,ACTIVE DEVELOPMENT,99.9,0.5447,53.2,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_18.png
34.236185,-84.145919,-0.753,787,19.45,88,ACTIVE DEVELOPMENT,99.0,0.522,49.8,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_19.png
34.326085,-84.020853,-0.716,704,17.4,88,ACTIVE DEVELOPMENT,99.0,0.5564,59.7,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_20.png
34.343242,-84.135728,-0.722,314,7.76,88,ACTIVE DEVELOPMENT,98.1,0.4412,47.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_21.png
34.219456,-84.146017,-0.668,147,3.63,88,ACTIVE DEVELOPMENT,100.0,0.4381,19.1,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_22.png
34.28717,-83.995424,-0.639,485,11.98,87,ACTIVE DEVELOPMENT,99.4,0.3816,69.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_23.png
34.277569,-84.127497,-0.669,484,11.96,87,ACTIVE DEVELOPMENT,100.0,0.5334,78.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_24.png
34.216184,-84.167129,-0.652,109,2.69,87,ACTIVE DEVELOPMENT,96.3,0.4117,18.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_25.png
34.337771,-84.116077,-0.689,1435,35.46,86,ACTIVE DEVELOPMENT,98.0,0.3962,127.7,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_26.png
34.316274,-84.098608,-0.7,1111,27.45,86,ACTIVE DEVELOPMENT,91.0,0.3708,42.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_27.png
34.263416,-84.033622,-0.681,918,22.68,86,ACTIVE DEVELOPMENT,99.8,0.5715,129.7,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_28.png
34.283888,-84.002511,-0.759,667,16.48,86,ACTIVE DEVELOPMENT,98.1,0.5055,110.9,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_29.png
34.273947,-84.055023,-0.579,568,14.04,86,ACTIVE DEVELOPMENT,99.1,0.3121,175.8,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_30.png
34.290065,-84.175123,-0.633,385,9.51,86,ACTIVE DEVELOPMENT,90.9,0.3127,42.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_31.png
34.324695,-84.066719,-0.648,92,2.27,86,ACTIVE DEVELOPMENT,100.0,0.3659,25.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_32.png
34.27388,-84.169553,-0.622,483,11.94,85,ACTIVE DEVELOPMENT,97.3,0.4003,129.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_33.png
34.202005,-83.994457,-0.707,80,1.98,85,ACTIVE DEVELOPMENT,100.0,0.3695,12.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_34.png
34.31658,-84.213888,-0.644,139,3.43,84,ACTIVE DEVELOPMENT,100.0,0.3941,33.3,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_35.png
34.235704,-83.952865,-0.669,80,1.98,83,ACTIVE DEVELOPMENT,100.0,0.3907,14.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_36.png
34.341126,-84.140279,-0.556,99,2.45,82,ACTIVE DEVELOPMENT,100.0,0.274,30.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_37.png
34.31617,-84.217946,-0.571,178,4.4,81,ACTIVE DEVELOPMENT,100.0,0.3318,55.1,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_38.png
34.325487,-84.082168,-0.589,1458,36.03,79,ACTIVE DEVELOPMENT,96.2,0.2027,36.0,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_39.png
34.238123,-84.200509,-0.535,825,20.39,79,ACTIVE DEVELOPMENT,97.9,0.223,66.4,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_40.png
34.211323,-84.107862,-0.677,88,2.17,79,ACTIVE DEVELOPMENT,72.7,0.274,13.1,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_41.png
34.281371,-84.251009,-0.62,135,3.34,78,ACTIVE DEVELOPMENT,93.3,0.4587,61.3,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_42.png
34.290947,-84.179153,-0.692,138,3.41,76,ACTIVE DEVELOPMENT,75.4,0.4174,23.5,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_43.png
34.255052,-84.20627,-0.556,129,3.19,74,ACTIVE DEVELOPMENT,85.3,0.2721,43.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_44.png
34.329684,-83.990849,-0.453,93,2.3,74,ACTIVE DEVELOPMENT,98.9,0.1771,21.8,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_45.png
34.317031,-84.041019,-0.509,134,3.31,71,ACTIVE DEVELOPMENT,100.0,0.1629,29.6,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_46.png
34.255081,-84.228495,-0.597,88,2.17,71,ACTIVE DEVELOPMENT,72.7,0.3315,46.5,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_47.png
34.325157,-84.243138,-0.683,129,3.19,69,ACTIVE DEVELOPMENT,62.0,0.4058,31.8,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_48.png
34.315639,-84.041904,-0.483,178,4.4,66,ACTIVE DEVELOPMENT,96.1,0.1544,43.5,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_49.png
34.329631,-84.085926,-0.475,134,3.31,61,ACTIVE DEVELOPMENT,97.8,0.1067,52.7,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_50.png
34.221602,-83.956916,-0.581,146,3.61,52,PROBABLE DEVELOPMENT,28.1,0.2501,25.5,https://atlas-flc.github.io/flc-website/thumbnails/forsyth_county_ga_site_51.png
