lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
29.900128,-97.908133,-0.578,253,6.25,94,ACTIVE DEVELOPMENT,99.6,0.2366,-0.0528,0.6079,21.1,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_1.png
29.851988,-97.88377,-0.523,1028,25.4,92,ACTIVE DEVELOPMENT,99.7,0.2547,-0.082,0.6388,26.2,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_2.png
29.91027,-97.905975,-0.571,105,2.59,92,ACTIVE DEVELOPMENT,93.3,0.2395,-0.1407,0.6422,13.0,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_3.png
29.858986,-97.946178,-0.499,278,6.87,91,ACTIVE DEVELOPMENT,98.6,0.2463,-0.0658,0.5896,33.8,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_4.png
29.855285,-97.929379,-0.493,506,12.5,90,ACTIVE DEVELOPMENT,100.0,0.2214,-0.1198,0.6162,41.6,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_5.png
29.849081,-97.929679,-0.516,403,9.96,89,ACTIVE DEVELOPMENT,100.0,0.2568,-0.1466,0.6458,44.6,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_6.png
29.85737,-97.926095,-0.467,266,6.57,88,ACTIVE DEVELOPMENT,100.0,0.2156,-0.1301,0.6177,67.5,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_7.png
29.890029,-97.911391,-0.661,112,2.77,88,ACTIVE DEVELOPMENT,88.4,0.2371,-0.1672,0.7135,19.7,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_8.png
29.905136,-97.921354,-0.374,84,2.08,88,ACTIVE DEVELOPMENT,100.0,0.277,-0.0563,0.556,18.1,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_9.png
29.971548,-97.907302,-0.502,228,5.63,86,ACTIVE DEVELOPMENT,100.0,0.1865,-0.1023,0.635,43.9,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_10.png
29.852219,-97.925569,-0.522,182,4.5,85,ACTIVE DEVELOPMENT,100.0,0.2034,-0.1173,0.657,26.9,https://atlas-flc.github.io/flc-website/thumbnails/hays_county_tx_site_11.png
