lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
34.130751,-83.684406,-0.486,365,9.02,95,ACTIVE DEVELOPMENT,100.0,0.194,-0.0219,0.6015,13.8,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_1.png
34.186431,-83.805427,-0.471,120,2.97,94,ACTIVE DEVELOPMENT,100.0,0.2665,-0.0977,0.59,12.7,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_2.png
34.1377,-83.757975,-0.506,503,12.43,91,ACTIVE DEVELOPMENT,99.4,0.3186,-0.1661,0.6406,40.1,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_3.png
34.124108,-83.56944,-0.488,278,6.87,91,ACTIVE DEVELOPMENT,100.0,0.2747,-0.1053,0.6176,43.5,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_4.png
34.119419,-83.822822,-0.473,169,4.18,91,ACTIVE DEVELOPMENT,94.7,0.2418,-0.1084,0.6283,18.6,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_5.png
34.123262,-83.823699,-0.442,1908,47.15,90,ACTIVE DEVELOPMENT,99.7,0.2402,-0.0503,0.5773,177.5,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_6.png
34.149193,-83.716726,-0.499,821,20.29,90,ACTIVE DEVELOPMENT,99.8,0.3345,-0.1179,0.6134,78.0,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_7.png
34.244005,-83.764216,-0.457,378,9.34,90,ACTIVE DEVELOPMENT,100.0,0.2424,-0.1076,0.5824,37.5,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_8.png
34.335212,-83.548958,-0.759,1065,26.32,88,ACTIVE DEVELOPMENT,100.0,0.7506,-0.5513,0.9154,48.4,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_9.png
34.143717,-83.609117,-0.42,346,8.55,88,ACTIVE DEVELOPMENT,100.0,0.1654,0.002,0.548,18.5,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_10.png
34.286761,-83.799166,-0.471,126,3.11,88,ACTIVE DEVELOPMENT,100.0,0.2714,-0.1545,0.6464,38.9,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_11.png
34.272202,-83.592346,-0.451,366,9.04,87,ACTIVE DEVELOPMENT,100.0,0.1842,-0.0568,0.5662,69.1,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_12.png
34.12367,-83.755572,-0.384,98,2.42,87,ACTIVE DEVELOPMENT,98.0,0.1669,-0.0893,0.5382,14.7,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_13.png
34.338616,-83.546257,-0.761,1175,29.03,85,ACTIVE DEVELOPMENT,100.0,0.7787,-0.5837,0.9282,54.5,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_14.png
34.264728,-83.739067,-0.58,408,10.08,85,ACTIVE DEVELOPMENT,95.8,0.17,-0.0853,0.6569,54.4,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_15.png
34.120333,-83.811287,-0.442,544,13.44,84,ACTIVE DEVELOPMENT,96.5,0.3237,-0.2147,0.5466,65.0,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_16.png
34.262167,-83.741009,-0.593,122,3.01,84,ACTIVE DEVELOPMENT,98.4,0.2323,-0.1349,0.6924,33.6,https://atlas-flc.github.io/flc-website/thumbnails/jackson_county_ga_site_17.png
