lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
33.171873,-111.843532,-0.66,566,13.99,98,ACTIVE DEVELOPMENT,100.0,0.4699,15.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_1.png
33.19343,-111.567859,-0.678,3026,74.77,96,ACTIVE DEVELOPMENT,100.0,0.464,17.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_2.png
33.193338,-111.560586,-0.65,2030,50.16,95,ACTIVE DEVELOPMENT,100.0,0.4605,18.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_3.png
33.197819,-111.797131,-0.63,262,6.47,95,ACTIVE DEVELOPMENT,100.0,0.3818,19.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_4.png
33.186094,-111.54942,-0.491,615,15.2,94,ACTIVE DEVELOPMENT,100.0,0.3185,20.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_5.png
33.285256,-111.83849,-0.692,208,5.14,94,ACTIVE DEVELOPMENT,100.0,0.3322,21.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_6.png
33.170989,-111.847536,-0.59,456,11.27,93,ACTIVE DEVELOPMENT,100.0,0.4228,23.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_7.png
33.226184,-111.894536,-0.594,435,10.75,93,ACTIVE DEVELOPMENT,100.0,0.5295,24.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_8.png
33.184778,-111.551882,-0.523,2368,58.51,92,ACTIVE DEVELOPMENT,100.0,0.3962,27.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_9.png
33.208077,-111.886332,-0.555,1963,48.51,92,ACTIVE DEVELOPMENT,100.0,0.4449,25.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_10.png
33.208222,-111.89045,-0.536,1870,46.21,92,ACTIVE DEVELOPMENT,100.0,0.4393,28.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_11.png
33.208111,-111.882229,-0.498,625,15.44,92,ACTIVE DEVELOPMENT,100.0,0.379,25.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_12.png
33.169352,-111.847869,-0.643,511,12.63,92,ACTIVE DEVELOPMENT,100.0,0.4702,25.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_13.png
33.211973,-111.890611,-0.487,519,12.82,91,ACTIVE DEVELOPMENT,100.0,0.3733,34.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_14.png
33.254241,-111.684974,-0.597,314,7.76,91,ACTIVE DEVELOPMENT,98.7,0.4341,31.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_15.png
33.190156,-111.566682,-0.673,1873,46.28,90,ACTIVE DEVELOPMENT,100.0,0.4539,35.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_16.png
33.259505,-111.687686,-0.427,404,9.98,89,ACTIVE DEVELOPMENT,100.0,0.3557,49.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_17.png
33.189985,-111.560934,-0.642,1588,39.24,88,ACTIVE DEVELOPMENT,100.0,0.4498,66.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_18.png
33.236097,-111.616345,-0.785,417,10.3,88,ACTIVE DEVELOPMENT,86.8,0.5199,22.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_19.png
33.239446,-111.587761,-0.48,108,2.67,88,ACTIVE DEVELOPMENT,100.0,0.2544,13.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_20.png
33.292214,-111.623689,-0.407,86,2.13,88,ACTIVE DEVELOPMENT,100.0,0.2905,16.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_21.png
33.184451,-111.55542,-0.524,2212,54.66,87,ACTIVE DEVELOPMENT,100.0,0.4204,114.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_22.png
33.197646,-111.804232,-0.603,1421,35.11,87,ACTIVE DEVELOPMENT,100.0,0.3819,118.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_23.png
33.314347,-111.707721,-0.462,104,2.57,87,ACTIVE DEVELOPMENT,100.0,0.2903,18.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_24.png
