lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
33.448012,-112.299298,-0.567,515,12.73,95,ACTIVE DEVELOPMENT,100.0,0.3148,18.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_1.png
33.412749,-112.298641,-0.507,294,7.26,94,ACTIVE DEVELOPMENT,100.0,0.2815,17.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_2.png
33.445475,-112.29926,-0.465,210,5.19,93,ACTIVE DEVELOPMENT,100.0,0.2467,14.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_3.png
33.415648,-112.299074,-0.469,605,14.95,92,ACTIVE DEVELOPMENT,100.0,0.272,19.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_4.png
33.385772,-112.47698,-0.501,210,5.19,88,ACTIVE DEVELOPMENT,100.0,0.2857,47.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_5.png
33.372097,-112.433029,-0.451,452,11.17,87,ACTIVE DEVELOPMENT,100.0,0.3088,90.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_6.png
33.394258,-112.700937,-0.448,439,10.85,85,ACTIVE DEVELOPMENT,100.0,0.2063,20.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_7.png
33.527302,-112.433768,-0.568,96,2.37,85,ACTIVE DEVELOPMENT,97.9,0.3239,23.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_8.png
33.41257,-112.299727,-0.494,184,4.55,84,ACTIVE DEVELOPMENT,100.0,0.2873,25.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_9.png
33.361399,-112.700451,-0.366,241,5.96,83,ACTIVE DEVELOPMENT,100.0,0.2186,32.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_10.png
33.399131,-112.442995,-0.694,143,3.53,82,ACTIVE DEVELOPMENT,100.0,0.491,45.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_11.png
33.393365,-112.431415,-0.639,191,4.72,80,ACTIVE DEVELOPMENT,100.0,0.3679,110.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_12.png
33.383551,-112.42023,-0.555,212,5.24,78,ACTIVE DEVELOPMENT,83.0,0.2535,43.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_13.png
33.420025,-112.41685,-0.442,146,3.61,78,ACTIVE DEVELOPMENT,100.0,0.2473,37.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_14.png
33.374203,-112.459968,-0.312,114,2.82,78,ACTIVE DEVELOPMENT,100.0,0.2543,41.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_15.png
33.385321,-112.394368,-0.492,190,4.69,76,ACTIVE DEVELOPMENT,97.4,0.2741,106.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_16.png
33.408418,-112.549376,-0.481,142,3.51,75,ACTIVE DEVELOPMENT,97.9,0.1945,23.7,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_17.png
33.46535,-112.322858,-0.417,114,2.82,73,ACTIVE DEVELOPMENT,95.6,0.2131,32.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_18.png
33.394213,-112.431061,-0.374,283,6.99,71,ACTIVE DEVELOPMENT,100.0,0.1389,80.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_19.png
33.411438,-112.612711,-0.351,81,2.0,70,ACTIVE DEVELOPMENT,100.0,0.1813,45.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_20.png
33.409393,-112.49546,-0.538,149,3.68,69,ACTIVE DEVELOPMENT,87.9,0.1659,21.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_21.png
33.41121,-112.483672,-0.443,126,3.11,69,ACTIVE DEVELOPMENT,100.0,0.1731,58.7,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_22.png
33.361903,-112.526878,-0.547,85,2.1,68,ACTIVE DEVELOPMENT,90.6,0.1876,36.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_23.png
33.408938,-112.494504,-0.549,91,2.25,67,ACTIVE DEVELOPMENT,90.1,0.1556,25.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_24.png
33.342803,-112.532641,-0.385,97,2.4,61,ACTIVE DEVELOPMENT,100.0,0.0913,49.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_25.png
33.38468,-112.453054,-0.327,91,2.25,61,ACTIVE DEVELOPMENT,96.7,0.0727,27.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_26.png
