lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
32.98991,-111.500221,-0.697,1248,30.84,98,ACTIVE DEVELOPMENT,100.0,0.5131,-0.403,0.7914,14.6,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_1.png
32.876058,-111.651585,-0.684,984,24.32,98,ACTIVE DEVELOPMENT,100.0,0.4663,-0.375,0.7723,14.9,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_2.png
32.878469,-111.647381,-0.656,972,24.02,98,ACTIVE DEVELOPMENT,100.0,0.4321,-0.3301,0.7545,15.1,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_3.png
32.873688,-111.6474,-0.64,947,23.4,98,ACTIVE DEVELOPMENT,100.0,0.4023,-0.3186,0.7237,15.0,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_4.png
32.979856,-111.504443,-0.777,788,19.47,98,ACTIVE DEVELOPMENT,100.0,0.5514,-0.4395,0.857,15.1,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_5.png
32.707286,-111.561487,-0.667,770,19.03,98,ACTIVE DEVELOPMENT,100.0,0.5109,-0.3194,0.7897,14.9,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_6.png
32.852269,-111.699395,-0.709,1400,34.59,97,ACTIVE DEVELOPMENT,100.0,0.514,-0.3795,0.828,16.1,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_7.png
33.026904,-111.475997,-0.735,1005,24.83,97,ACTIVE DEVELOPMENT,100.0,0.5254,-0.4191,0.8221,16.0,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_8.png
32.87607,-111.647366,-0.559,944,23.33,97,ACTIVE DEVELOPMENT,100.0,0.3491,-0.2652,0.6425,15.5,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_9.png
32.873604,-111.651688,-0.681,943,23.3,97,ACTIVE DEVELOPMENT,100.0,0.4428,-0.3553,0.7645,15.3,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_10.png
32.878406,-111.651432,-0.655,863,21.33,97,ACTIVE DEVELOPMENT,100.0,0.419,-0.3352,0.7443,15.6,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_11.png
33.026606,-111.479991,-0.703,790,19.52,97,ACTIVE DEVELOPMENT,100.0,0.4953,-0.3971,0.7908,15.3,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_12.png
33.008168,-111.52122,-0.677,522,12.9,97,ACTIVE DEVELOPMENT,100.0,0.4113,-0.3205,0.7458,15.9,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_13.png
32.874242,-111.586989,-0.538,1533,37.88,96,ACTIVE DEVELOPMENT,100.0,0.2872,-0.1921,0.6698,17.5,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_14.png
32.844877,-111.681945,-0.642,1422,35.14,96,ACTIVE DEVELOPMENT,100.0,0.4526,-0.3196,0.7498,16.5,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_15.png
32.953716,-111.491571,-0.715,1173,28.99,95,ACTIVE DEVELOPMENT,100.0,0.5163,-0.3782,0.816,18.2,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_16.png
33.010455,-111.539404,-0.651,497,12.28,95,ACTIVE DEVELOPMENT,100.0,0.4367,-0.3205,0.7325,19.3,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_17.png
32.689311,-111.62368,-0.331,233,5.76,95,ACTIVE DEVELOPMENT,97.0,0.2113,-0.0699,0.4689,16.5,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_18.png
32.845784,-111.668962,-0.726,2032,50.21,94,ACTIVE DEVELOPMENT,100.0,0.5415,-0.4225,0.8445,21.9,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_19.png
32.769036,-111.466845,-0.736,1723,42.58,94,ACTIVE DEVELOPMENT,99.9,0.5002,-0.3879,0.8327,21.4,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_20.png
32.874208,-111.591244,-0.522,1320,32.62,94,ACTIVE DEVELOPMENT,100.0,0.29,-0.1753,0.6388,21.1,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_21.png
33.014176,-111.555503,-0.662,998,24.66,94,ACTIVE DEVELOPMENT,99.0,0.4187,-0.3359,0.743,19.9,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_22.png
32.866368,-111.643166,-0.402,827,20.44,94,ACTIVE DEVELOPMENT,100.0,0.2391,-0.1331,0.4841,19.5,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_23.png
32.870974,-111.64742,-0.627,822,20.31,94,ACTIVE DEVELOPMENT,100.0,0.4049,-0.2948,0.7119,21.8,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_24.png
32.97283,-111.496386,-0.725,608,15.02,94,ACTIVE DEVELOPMENT,100.0,0.5173,-0.4105,0.8201,21.4,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_25.png
32.921729,-111.478403,-0.582,326,8.06,94,ACTIVE DEVELOPMENT,100.0,0.3941,-0.2619,0.6897,20.6,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_26.png
33.048331,-111.395889,-0.741,288,7.12,94,ACTIVE DEVELOPMENT,100.0,0.5054,-0.405,0.8204,21.7,https://atlas-flc.github.io/flc-website/thumbnails/pinal_county_az_site_27.png
