lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
40.429448,-111.778618,-0.645,451,11.14,89,ACTIVE DEVELOPMENT,89.4,0.3675,23.1,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_1.png
40.356977,-111.816436,-0.743,1683,41.59,85,ACTIVE DEVELOPMENT,93.4,0.4882,74.9,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_2.png
40.449157,-111.903759,-0.396,84,2.08,85,ACTIVE DEVELOPMENT,100.0,0.2926,25.2,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_3.png
40.366313,-111.880895,-0.659,115,2.84,83,ACTIVE DEVELOPMENT,90.4,0.3431,22.6,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_4.png
40.363814,-111.793844,-0.572,95,2.35,83,ACTIVE DEVELOPMENT,89.5,0.3241,19.5,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_5.png
40.381932,-111.932983,-0.65,1348,33.31,80,ACTIVE DEVELOPMENT,55.0,0.2893,13.7,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_6.png
40.49176,-111.907216,-0.635,139,3.43,80,ACTIVE DEVELOPMENT,77.7,0.3595,18.0,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_7.png
40.38021,-111.830275,-0.921,102,2.52,79,ACTIVE DEVELOPMENT,93.1,0.6282,50.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_8.png
40.374192,-111.894555,-0.429,243,6.0,77,ACTIVE DEVELOPMENT,97.9,0.2081,81.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_9.png
40.48952,-111.916029,-0.403,90,2.22,76,ACTIVE DEVELOPMENT,100.0,0.2384,46.9,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_10.png
40.381105,-111.831064,-0.623,205,5.07,74,ACTIVE DEVELOPMENT,58.5,0.2934,32.0,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_11.png
40.476346,-111.813383,-0.384,141,3.48,74,ACTIVE DEVELOPMENT,97.9,0.2045,31.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_12.png
40.401091,-111.875618,-0.347,91,2.25,73,ACTIVE DEVELOPMENT,100.0,0.147,17.6,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_13.png
40.421926,-111.805758,-0.502,187,4.62,71,ACTIVE DEVELOPMENT,80.7,0.2327,24.7,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_14.png
40.443437,-111.762447,-0.651,114,2.82,71,ACTIVE DEVELOPMENT,65.8,0.2885,23.7,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_15.png
40.41529,-111.840532,-0.547,86,2.13,71,ACTIVE DEVELOPMENT,76.7,0.2389,22.5,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_16.png
40.349643,-111.943493,-0.709,433,10.7,70,ACTIVE DEVELOPMENT,37.4,0.3762,19.5,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_17.png
40.477799,-111.813559,-0.4,104,2.57,65,ACTIVE DEVELOPMENT,98.1,0.1354,41.9,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_18.png
40.397355,-111.882433,-0.511,128,3.16,64,ACTIVE DEVELOPMENT,97.7,0.0882,22.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_19.png
40.37082,-111.910073,-0.425,110,2.72,64,ACTIVE DEVELOPMENT,90.9,0.1516,45.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_20.png
40.370284,-111.898395,-0.437,419,10.35,62,ACTIVE DEVELOPMENT,92.8,0.0644,55.1,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_21.png
40.446531,-111.837632,-0.451,115,2.84,60,PROBABLE DEVELOPMENT,100.0,0.0678,37.9,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_22.png
40.478371,-111.816463,-0.429,100,2.47,55,PROBABLE DEVELOPMENT,84.0,0.0787,37.2,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_23.png
40.464464,-111.983751,-0.472,82,2.03,51,PROBABLE DEVELOPMENT,73.2,0.0733,29.3,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_24.png
40.382792,-111.831769,-0.512,92,2.27,50,PROBABLE DEVELOPMENT,64.1,0.0948,28.3,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_25.png
40.366341,-111.896467,-0.409,126,3.11,38,PROBABLE DEVELOPMENT,33.3,0.1285,45.8,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_26.png
40.360714,-111.940983,-0.61,154,3.81,16,LIKELY AGRICULTURAL,0.0,0.066,104.7,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_27.png
40.345541,-111.958413,-0.494,88,2.17,10,LIKELY AGRICULTURAL,0.0,-0.069,76.4,https://atlas-flc.github.io/flc-website/thumbnails/utah-salt_lake_ut_site_28.png
