lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,early_ndbi,early_ndvi,compactness,thumbnail_url
35.935844,-86.937051,-0.53,277,6.84,95,ACTIVE DEVELOPMENT,100.0,0.2901,-0.0946,0.6551,19.2,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_1.png
35.96313,-86.842865,-0.657,755,18.66,90,ACTIVE DEVELOPMENT,99.5,0.3821,-0.197,0.7587,36.9,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_2.png
36.030165,-87.066426,-0.565,601,14.85,90,ACTIVE DEVELOPMENT,100.0,0.2063,-0.0331,0.6353,37.9,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_3.png
35.944339,-86.767093,-0.613,540,13.34,90,ACTIVE DEVELOPMENT,99.8,0.3295,-0.1458,0.7091,36.8,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_4.png
35.936977,-86.936301,-0.652,102,2.52,90,ACTIVE DEVELOPMENT,100.0,0.3866,-0.2006,0.7731,15.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_5.png
36.018808,-86.760267,-0.655,453,11.19,89,ACTIVE DEVELOPMENT,99.3,0.357,-0.2016,0.7556,52.4,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_6.png
35.951526,-87.018521,-0.52,408,10.08,89,ACTIVE DEVELOPMENT,100.0,0.2457,-0.0617,0.6642,46.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_7.png
35.927643,-87.044433,-0.665,1497,36.99,88,ACTIVE DEVELOPMENT,99.1,0.309,-0.1439,0.735,57.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_8.png
35.941113,-86.993635,-0.479,670,16.56,88,ACTIVE DEVELOPMENT,99.9,0.2098,-0.038,0.6094,73.6,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_9.png
35.874873,-86.790066,-0.552,332,8.2,88,ACTIVE DEVELOPMENT,99.7,0.2613,-0.0777,0.6659,59.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_10.png
35.877519,-87.083991,-0.464,90,2.22,88,ACTIVE DEVELOPMENT,100.0,0.2304,-0.0533,0.6253,19.6,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_11.png
35.883991,-86.927045,-0.635,918,22.68,87,ACTIVE DEVELOPMENT,99.8,0.4008,-0.2071,0.7844,95.4,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_12.png
35.897979,-86.912473,-0.623,808,19.97,87,ACTIVE DEVELOPMENT,96.0,0.3015,-0.1485,0.7374,104.1,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_13.png
35.873307,-86.793225,-0.718,431,10.65,87,ACTIVE DEVELOPMENT,97.7,0.4704,-0.2768,0.8409,93.7,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_14.png
35.910834,-86.87937,-0.586,241,5.96,87,ACTIVE DEVELOPMENT,99.6,0.2247,-0.0999,0.7109,75.6,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_15.png
35.904663,-86.880155,-0.698,91,2.25,87,ACTIVE DEVELOPMENT,100.0,0.3579,-0.2406,0.8267,21.3,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_16.png
36.004162,-86.81188,-0.694,876,21.65,86,ACTIVE DEVELOPMENT,99.5,0.4766,-0.2925,0.8196,177.2,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_17.png
35.936023,-86.875104,-0.645,191,4.72,82,ACTIVE DEVELOPMENT,99.5,0.3237,-0.1905,0.7723,47.3,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_18.png
35.945589,-87.019057,-0.503,118,2.92,82,ACTIVE DEVELOPMENT,100.0,0.238,-0.0841,0.6661,43.9,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_19.png
35.950939,-87.015948,-0.49,132,3.26,81,ACTIVE DEVELOPMENT,100.0,0.3058,-0.1673,0.6493,56.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_20.png
35.948938,-87.013353,-0.443,87,2.15,74,ACTIVE DEVELOPMENT,96.6,0.1691,-0.0572,0.5858,50.1,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_21.png
35.944249,-86.978075,-0.44,86,2.13,50,PROBABLE DEVELOPMENT,74.4,0.0684,-0.0215,0.5517,41.9,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_22.png
